name	genename.x	genename.y	MZsoxnanog_6_B3	MZsoxnanog_5.5_B3	MZsoxnanog_5_B3	MZsoxnanog_4.5_B3	MZsoxnanog_4_B3	MZsoxnanog_3.5_B3	MZsoxnanog_3_B3	MZsoxnanog_2.5_B3	MZsoxnanog_6_B2	MZsoxnanog_5.5_B2	MZsoxnanog_5_B2	MZsoxnanog_4.5_B2	MZsoxnanog_4_B2	MZsoxnanog_3.5_B2	MZsoxnanog_3_B2	MZsoxnanog_2.5_B2	MZsoxnanog_6_B1	MZsoxnanog_5.5_B1	MZsoxnanog_5_B1	MZsoxnanog_4.5_B1	MZsoxnanog_4_B1	MZsoxnanog_3.5_B1	MZsoxnanog_3_B1	MZsoxnanog_2.5_B1	MZsoxspg_6_B3	MZsoxspg_5.5_B3	MZsoxspg_5_B3	MZsoxspg_4.5_B3	MZsoxspg_4_B3	MZsoxspg_3.5_B3	MZsoxspg_3_B3	MZsoxspg_2.5_B3	MZsoxspg_6_B2	MZsoxspg_5.5_B2	MZsoxspg_5_B2	MZsoxspg_4.5_B2	MZsoxspg_4_B2	MZsoxspg_3.5_B2	MZsoxspg_3_B2	MZsoxspg_2.5_B2	MZsoxspg_6_B1	MZsoxspg_5.5_B1	MZsoxspg_5_B1	MZsoxspg_4.5_B1	MZsoxspg_4_B1	MZsoxspg_3.5_B1	MZsoxspg_3_B1	MZsoxspg_2.5_B1	MZnanog_6_B3	MZnanog_5.5_B3	MZnanog_5_B3	MZnanog_4.5_B3	MZnanog_4_B3	MZnanog_3.5_B3	MZnanog_3_B3	MZnanog_2.5_B3	MZnanog_6_B2	MZnanog_5.5_B2	MZnanog_5_B2	MZnanog_4.5_B2	MZnanog_4_B2	MZnanog_3.5_B2	MZnanog_3_B2	MZnanog_2.5_B2	MZnanog_6_B1	MZnanog_5.5_B1	MZnanog_5_B1	MZnanog_4.5_B1	MZnanog_4_B1	MZnanog_3.5_B1	MZnanog_3_B1	MZnanog_2.5_B1	MZspg_6_B3	MZspg_5.5_B3	MZspg_5_B3	MZspg_4.5_B3	MZspg_4_B3	MZspg_3.5_B3	MZspg_3_B3	MZspg_2.5_B3	MZspg_6_B2	MZspg_5.5_B2	MZspg_5_B2	MZspg_4.5_B2	MZspg_4_B2	MZspg_3.5_B2	MZspg_3_B2	MZspg_2.5_B2	MZspg_6_B1	MZspg_5.5_B1	MZspg_5_B1	MZspg_4.5_B1	MZspg_4_B1	MZspg_3.5_B1	MZspg_3_B1	MZspg_2.5_B1	MZsox_6_B3	MZsox_5.5_B3	MZsox_5_B3	MZsox_4.5_B3	MZsox_4_B3	MZsox_3.5_B3	MZsox_3_B3	MZsox_2.5_B3	MZsox_6_B2	MZsox_5.5_B2	MZsox_5_B2	MZsox_4.5_B2	MZsox_4_B2	MZsox_3.5_B2	MZsox_3_B2	MZsox_2.5_B2	MZsox_6_B1	MZsox_5.5_B1	MZsox_5_B1	MZsox_4.5_B1	MZsox_4_B1	MZsox_3.5_B1	MZsox_3_B1	MZsox_2.5_B1	WT_6_B5	WT_5.5_B5	WT_5_B5	WT_4.5_B5	WT_4_B5	WT_3.5_B5	WT_3_B5	WT_2.5_B5	WT_6_B4	WT_5.5_B4	WT_5_B4	WT_4.5_B4	WT_4_B4	WT_3.5_B4	WT_3_B4	WT_2.5_B4	WT_6_B3	WT_5.5_B3	WT_5_B3	WT_4.5_B3	WT_4_B3	WT_3.5_B3	WT_3_B3	WT_2.5_B3	WT_6_B2	WT_5.5_B2	WT_5_B2	WT_4.5_B2	WT_4_B2	WT_3.5_B2	WT_3_B2	WT_2.5_B2	WT_6_B1	WT_5.5_B1	WT_5_B1	WT_4.5_B1	WT_4_B1	WT_3.5_B1	WT_3_B1	WT_2.5_B1
ENSDART00000058910.5	sox19b	sox19b	2695	1773	1838	2082	2100	2199	2003	2394	2695	511	585	851	1570	2840	3266	4141	2695	2691	2918	2990	3020	2402	2279	2708	1320	419	309	491	1063	1892	2287	2795	1320	2542	2824	2924	2847	2742	2329	2573	1320	535	521	725	1655	2987	3404	3858	16155	15842	23273	30312	41048	43382	42550	44625	22591	32193	32742	37147	37152	34131	34244	44625	23439	33964	36299	41860	38528	35815	32697	44625	1162	815	2089	4597	21827	35533	38932	42086	1182	1289	2163	7173	16599	30978	31169	33224	1230	1219	2141	7076	20071	36505	36380	41613	1745	890	669	827	1493	1958	2358	3039	862	1066	929	1087	1951	1967	2109	3042	1064	1136	807	939	1860	1794	1908	2937	4755	2461	1790	2681	7009	28150	42447	46056	4281	2416	2363	5578	18920	42183	44495	44679	4292	2765	1894	3757	11554	33566	42217	43463	4292	2809	2474	4143	11072	31328	43663	46553	4292	2832	2600	4317	10502	30700	44386	47386
ENSDART00000114762.2	nanog	nanog	13931	20854	27390	34776	37282	43332	40606	45935	13931	29498	51037	65673	69873	65352	69545	80988	13931	20118	27198	32304	36323	38839	37273	41408	2739	8978	24814	58744	73032	71336	71077	80234	2739	19734	25671	32849	37068	39897	37556	41142	2739	29128	50867	61785	70196	65302	67983	78319	24709	33648	46281	50487	47242	41334	39945	45125	28832	36931	36940	36539	32335	29188	28404	45125	29792	40740	41810	40860	34497	31000	29842	45125	2884	7747	24582	49323	55565	58043	60694	79831	6134	9280	21013	45977	51404	44573	41700	44779	6557	9930	22648	49470	54629	52939	50417	56428	64243	102084	103644	94950	71117	63969	69361	84500	105627	88522	80749	76747	65530	60354	60086	71212	120634	98410	90276	85763	63559	57740	57621	66655	8817	23565	52814	99973	110280	84177	71420	77955	10998	29745	74946	109942	96705	76915	69648	79361	11892	29072	64157	109700	105209	84527	69989	74695	11892	34223	79794	114590	110221	87223	70824	71083	11892	34906	78817	112480	112416	85842	71924	72733
ENSDART00000065817.3	pou5f3	pou5f3	22945	29179	32171	34139	32425	35115	37216	46294	22945	26875	19208	16267	15913	15442	17216	21418	22945	40072	39607	37086	35348	34622	38754	45916	51220	43649	29779	18224	16797	15739	15464	17307	51220	39501	36955	37282	36032	36573	39112	45368	51220	26732	19121	15967	15968	15576	17161	20402	37508	32965	34440	33488	31024	31674	34331	41892	36495	35117	31898	30412	29176	28915	29493	41892	38118	36972	35013	33357	30930	31336	30937	41892	47700	37551	25816	20483	16319	14392	14694	17288	32324	28202	21543	16821	14386	11209	10613	11129	35488	31113	24205	18332	16061	12710	11911	13109	172768	124173	82922	65140	45272	38589	42937	53592	90932	82636	58300	55057	44382	40673	42516	50722	103570	90888	63741	61373	41836	37117	39241	47860	178815	178617	143307	91923	60047	41176	37439	44194	191080	175822	124727	68755	42662	34511	34753	42819	182764	152958	129710	80351	50849	40287	38793	43737	182764	177835	124770	80565	53043	42651	38197	41155	182764	176316	122687	78732	54155	41504	38704	41280
ENSDART00000104493.4	sox2	sox2	10086	5105	2036	169	22	19	11	5	10086	4	6	12	14	13	9	10	10086	5949	564	69	10	7	21	16	331	89	12	8	13	5	11	8	331	5838	573	42	9	7	22	10	331	5	2	8	11	14	11	14	14334	8661	3515	529	62	18	7	6	8143	2051	335	11	8	5	17	6	7430	2046	324	30	11	11	13	6	52	67	84	68	20	10	10	7	55	67	98	78	35	18	8	10	57	73	112	74	55	16	13	13	2813	307	56	53	28	16	8	8	77	255	113	73	44	16	8	8	70	258	133	78	38	12	9	1	18887	9131	1272	82	80	46	10	7	17022	5237	211	88	80	23	10	3	18061	5986	487	64	58	37	5	8	18061	5183	205	82	87	32	17	8	18061	5123	228	70	77	32	20	15
ENSDART00000114113.3	sox19a	sox19a	2	1	0	1	0	0	0	0	2	10	9	9	5	0	0	0	2	0	0	1	0	0	0	0	32	37	25	30	6	0	0	1	32	0	0	2	0	0	0	0	32	16	8	8	2	1	0	0	12	4	4	9	2	0	0	0	8	4	0	1	2	0	0	0	0	1	1	2	1	0	0	0	34	20	6	2	2	1	0	0	12	25	18	6	4	1	0	0	30	18	16	7	5	0	0	0	16	11	10	16	2	3	0	0	15	18	15	10	4	2	0	0	23	19	5	2	6	1	0	0	13	26	14	6	1	4	0	0	16	10	12	7	2	0	0	0	9	12	10	19	5	1	1	0	9	6	7	6	0	1	0	0	9	8	3	5	0	1	0	0
ENSDART00000075617.4	sox3	sox3	8453	2058	408	135	126	142	125	138	8453	33836	18253	12590	9494	2611	870	692	8453	1657	632	588	899	1441	273	332	72981	56152	28290	12036	8927	4583	585	74	72981	1633	644	617	873	1359	253	309	72981	33337	18005	10742	10374	2733	874	717	17431	8770	3336	669	139	114	112	97	5360	1632	375	138	120	88	65	97	5227	1834	477	148	124	70	109	97	34658	24753	7715	4250	3848	1375	250	243	27539	19592	10770	4711	3845	1610	520	108	29533	20757	11105	4692	4261	1952	601	143	44514	29628	16142	15343	13234	4454	831	353	27536	25717	16903	12097	11036	3465	420	254	32734	28974	19164	12635	10492	3207	374	276	42179	44299	28268	9492	6481	5620	1431	187	48267	40802	20177	6536	6261	3331	409	65	45654	37723	24895	7865	6190	4801	1123	191	45654	49435	23449	10601	8782	6339	2219	369	45654	48757	23761	10136	8762	6138	2236	396
ENSDART00000110040.3	sox11a	sox11a	337	293	235	183	95	37	30	22	337	456	459	487	334	72	13	18	337	225	183	103	64	23	9	9	1054	826	679	693	541	285	29	8	1054	248	184	90	46	24	15	8	1054	387	391	511	339	74	18	18	13080	11412	7639	4174	1529	181	13	15	6500	3303	2464	1333	246	17	10	15	7510	3327	2285	1297	279	19	10	15	1063	748	500	414	307	152	104	119	819	438	333	340	346	186	120	109	936	576	373	388	298	188	108	78	2587	1986	1458	1460	684	114	13	26	2093	2260	1275	1004	369	29	9	12	1811	1916	1096	971	334	28	11	41	4590	5345	4805	3989	2753	691	36	7	5264	6366	5471	4702	1837	279	21	30	5870	6526	5973	4536	2604	627	60	10	5870	3842	3942	4194	2113	704	101	22	5870	3736	4165	4104	2118	641	99	21
ENSDART00000113803.3	her3	her3	5	1	1	1	4	2	4	0	5	0	0	0	0	1	0	0	5	1	0	1	4	15	2	1	0	0	0	0	2	1	1	0	0	0	1	1	12	19	2	0	0	0	0	0	0	0	0	0	13955	13184	11616	9306	5516	967	98	2	9390	6690	5849	4334	949	122	5	2	9670	6760	5940	4360	940	181	12	2	0	0	0	2	2	3	0	0	0	4	1	1	6	4	2	0	5	0	0	0	6	4	2	0	25	1	0	1	2	2	0	1	1	3	3	0	3	4	0	0	2	0	3	2	2	3	1	3	2959	769	93	36	71	184	97	7	2307	556	36	50	174	190	28	0	2244	731	73	33	105	176	58	3	2244	383	58	55	185	121	78	6	2244	314	52	58	195	143	88	6
ENSDART00000017695.5	foxd3	foxd3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	0	0	2	0	0	0	5	2	0	0	3	0	0	0	2	0	0	0	0	2	1	0	2	4	5	0	0	0	0	0	2	0	3	1	1	0	0	0
ENSDART00000167949.2	vox	vox	1051	455	528	684	557	249	75	7	1051	1957	1845	1742	1400	902	234	12	1051	456	619	440	296	235	124	24	8572	3258	1881	1552	1320	1350	529	30	8572	469	632	449	297	223	122	19	8572	1884	1887	1712	1472	893	249	13	7643	5982	363	203	211	121	57	6	6424	619	322	235	187	94	17	6	5663	565	297	259	192	81	24	6	9724	8859	2766	1270	808	330	39	3	9560	8183	4692	1665	1011	437	125	8	9057	8283	4423	1568	1018	478	150	13	19805	15762	8332	5447	2403	1765	322	12	12391	12470	8173	4751	4070	3538	292	7	13675	13269	8784	5116	4027	3240	229	60	21482	17897	16586	10158	3095	1064	597	83	23674	17891	12927	6852	1527	1223	262	15	22771	18908	16503	9839	1531	1082	545	29	22771	19419	14848	12366	1736	1255	741	166	22771	20103	13898	12237	1723	1232	775	154
