name	genename.x	genename.y	triple_6_B3	triple_5.5_B3	triple_5_B3	triple_4.5_B3	triple_4_B3	triple_3.5_B3	triple_3_B3	triple_2.5_B3	triple_6_B2	triple_5.5_B2	triple_5_B2	triple_4.5_B2	triple_4_B2	triple_3.5_B2	triple_3_B2	triple_2.5_B2	triple_6_B1	triple_5.5_B1	triple_5_B1	triple_4.5_B1	triple_4_B1	triple_3.5_B1	triple_3_B1	triple_2.5_B1	MZspgnanog_6_B3	MZspgnanog_5.5_B3	MZspgnanog_5_B3	MZspgnanog_4.5_B3	MZspgnanog_4_B3	MZspgnanog_3.5_B3	MZspgnanog_3_B3	MZspgnanog_2.5_B3	MZspgnanog_6_B2	MZspgnanog_5.5_B2	MZspgnanog_5_B2	MZspgnanog_4.5_B2	MZspgnanog_4_B2	MZspgnanog_3.5_B2	MZspgnanog_3_B2	MZspgnanog_2.5_B2	MZspgnanog_6_B1	MZspgnanog_5.5_B1	MZspgnanog_5_B1	MZspgnanog_4.5_B1	MZspgnanog_4_B1	MZspgnanog_3.5_B1	MZspgnanog_3_B1	MZspgnanog_2.5_B1	WT_6_B6	WT_5.5_B6	WT_5_B6	WT_4.5_B6	WT_4_B6	WT_3.5_B6	WT_3_B6	WT_2.5_B6	WT_6_B5	WT_5.5_B5	WT_5_B5	WT_4.5_B5	WT_4_B5	WT_3.5_B5	WT_3_B5	WT_2.5_B5	WT_6_B4	WT_5.5_B4	WT_5_B4	WT_4.5_B4	WT_4_B4	WT_3.5_B4	WT_3_B4	WT_2.5_B4	WT_6_B3	WT_5.5_B3	WT_5_B3	WT_4.5_B3	WT_4_B3	WT_3.5_B3	WT_3_B3	WT_2.5_B3	WT_6_B2	WT_5.5_B2	WT_5_B2	WT_4.5_B2	WT_4_B2	WT_3.5_B2	WT_3_B2	WT_2.5_B2	WT_6_B1	WT_5.5_B1	WT_5_B1	WT_4.5_B1	WT_4_B1	WT_3.5_B1	WT_3_B1	WT_2.5_B1
ENSDART00000058910.5	sox19b	sox19b	1511	1919	2336	2563	2475	2318	2337	2481	1622	1846	2215	2097	2119	2023	2283	3296	968	1718	2224	2295	2188	2297	2936	3296	4345	9781	10510	27348	33097	33906	34335	36280	4486	6737	18129	31545	40397	40308	38297	39353	9430	16534	24276	31698	34131	34206	35152	39160	3264	2850	3687	7203	13788	23363	30765	32529	2427	2134	3587	8155	19876	30265	34076	35862	3885	2034	2046	5478	20086	36849	36755	35862	2861	2181	2762	4915	10419	24754	30257	32774	3594	2322	2165	3059	9129	25791	32703	33560	3852	2509	1627	3112	10981	28902	36248	37055
ENSDART00000114762.2	nanog	nanog	24723	27651	37052	45097	48390	49416	50261	52914	20757	29756	41182	42455	41997	44236	45271	59636	14936	24397	37812	40255	42262	47396	54663	59636	12858	19404	26024	36895	42272	48343	45228	55394	9909	16187	27370	42323	46781	46419	43622	50467	12194	18755	27735	35162	36617	38052	44527	52619	25188	82200	103314	107715	94536	78104	64058	64088	31599	63669	107393	105666	83432	66465	67306	74886	16624	42288	89483	106869	80437	67371	67913	74886	22147	52708	87370	111822	99548	72447	63384	63873	14573	35836	72124	106305	98609	71320	61044	67001	10771	30308	74523	108826	100509	76105	68060	74323
ENSDART00000065817.3	pou5f3	pou5f3	2804	2914	3719	5406	9224	12930	14625	16900	2817	3588	7459	10026	12594	14671	16975	21978	2133	3004	5286	8298	13433	17465	21440	21978	4015	3651	4049	6092	8966	13178	14276	18290	6455	4634	3990	6594	9750	12590	12941	14674	3156	3261	4846	6568	9456	12098	14154	18413	209870	130741	98499	70980	54607	44174	38435	42277	182446	143626	92081	63232	45617	38833	42404	50344	203390	166481	105820	58681	36272	32089	35576	50344	207819	165053	117084	80016	56907	40147	40134	43864	203203	164894	127721	88160	56134	40199	38609	45038	201158	181030	130688	76056	43156	30714	29983	35089
ENSDART00000104493.4	sox2	sox2	4	6	2	5	2	5	4	5	28	12	6	4	7	3	3	9	57	34	13	3	1	10	1	9	205	68	1152	12	10	2	4	6	1362	1655	33	618	36	6	5	3	86	31	5	5	7	3	1	4	7819	200	43	34	31	29	10	5	5110	686	33	45	34	17	8	4	10258	1498	51	60	47	12	7	4	7973	1516	63	30	30	22	11	6	11518	3763	346	64	45	17	6	3	12636	4449	211	82	86	35	5	4
ENSDART00000114113.3	sox19a	sox19a	0	1	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	4	0	1	1	0	0	0	1	17	10	15	4	2	0	1	0	36	10	7	4	2	0	1	0	25	16	3	2	1	0	0	0	12	4	6	2	1	2	1	0	23	10	8	10	4	2	0	0	20	10	7	2	3	1	0	0
ENSDART00000075617.4	sox3	sox3	55	43	11	21	28	32	71	73	121	32	42	64	104	129	132	183	247	105	64	48	87	134	162	183	501	209	189	25	21	60	62	84	1371	412	95	68	68	81	85	83	380	314	119	122	164	286	614	416	37883	17005	8683	5760	5770	5874	2897	676	34138	21003	7387	5285	5092	2700	371	142	35799	26110	8764	3908	3699	1036	133	142	35690	25612	12580	6099	5702	4168	1015	147	36018	29435	17765	7229	5335	3991	1091	171	34604	33376	15682	5667	4586	3017	680	49
ENSDART00000110040.3	sox11a	sox11a	661	921	783	510	303	187	161	122	705	447	223	147	58	52	57	62	1229	1150	852	368	144	107	86	62	311	347	292	290	207	68	33	23	308	303	345	385	228	133	63	65	395	366	343	220	126	85	97	76	6777	6228	5691	5209	3687	1844	303	19	6532	6431	5417	4085	2151	410	18	21	8301	7617	5893	3446	1299	65	16	21	5455	5418	5296	4509	2725	898	55	13	6026	4643	5309	5036	3425	1054	77	18	6114	6096	6375	4522	2286	441	19	11
ENSDART00000113803.3	her3	her3	1	0	0	0	0	3	1	0	0	2	0	1	3	2	1	0	0	2	3	0	2	0	1	0	2	4	156	1	3	2	0	0	31	118	1	52	31	17	2	1	0	1	1	1	1	3	0	0	676	12	20	37	69	119	102	13	247	38	12	51	103	120	15	3	1220	162	35	60	187	100	7	3	581	45	8	36	53	102	34	3	1371	147	28	34	53	114	39	1	1858	434	60	40	150	195	56	1
ENSDART00000017695.5	foxd3	foxd3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDART00000167949.2	vox	vox	3	6	13	16	22	47	31	8	10	37	13	24	80	22	2	0	60	42	48	27	24	20	1	0	115	8	25	14	6	19	8	0	828	142	11	59	20	10	6	2	164	32	20	11	10	10	11	1	18451	14608	12304	7557	2109	1267	964	193	16622	16131	10987	3182	1105	961	142	19	19375	15086	10249	3077	1235	718	67	19	18582	17460	13840	8938	1723	1020	343	17	17522	17138	16107	11481	2132	1055	296	22	20482	18875	13376	6447	1421	1200	527	15
